x_val,y_val,seed,mean_lpay
0.0000,0.4000,314,84.3017
0.0000,0.4000,1066,84.2880
0.0000,0.4000,53,84.2974
0.0000,0.4000,160,84.3113
0.0000,0.4000,1031,84.2993
0.4286,0.3500,42,0.8998
0.4286,0.3500,123,2.6343
0.4286,0.3500,777,1.8371
0.4286,0.3500,999,0.1283
0.4286,0.3500,2024,0.6425
0.4286,0.3500,314,-0.0627
0.4286,0.3500,1066,-1.1630
0.4286,0.3500,53,-0.1931
0.4286,0.3500,160,-1.5636
0.4286,0.3500,1031,1.1739
0.5000,0.3500,42,-9.4208
0.5000,0.3500,123,-8.6848
0.5000,0.3500,777,-8.9828
0.5000,0.3500,999,-13.4701
0.5000,0.3500,2024,-12.9172
0.5000,0.3500,314,-12.0981
0.5000,0.3500,1066,-9.4851
0.5000,0.3500,53,-8.7346
0.5000,0.3500,160,-8.8048
0.5000,0.3500,1031,-9.7276
0.0714,0.4000,42,67.4255
0.0714,0.4000,123,67.8270
0.0714,0.4000,777,67.0870
0.0714,0.4000,999,67.9047
0.0714,0.4000,2024,67.0815
0.0714,0.4000,314,68.8915
0.0714,0.4000,1066,68.0269
0.0714,0.4000,53,68.2585
0.0714,0.4000,160,67.8626
0.0714,0.4000,1031,68.5963
0.1429,0.4000,42,52.2754
0.1429,0.4000,123,53.1902
0.1429,0.4000,777,52.8441
0.1429,0.4000,999,52.5644
0.1429,0.4000,2024,53.7631
0.1429,0.4000,314,52.9049
0.1429,0.4000,1066,52.6558
0.1429,0.4000,53,52.4854
0.1429,0.4000,160,52.8911
0.1429,0.4000,1031,52.8577
0.2143,0.4000,42,37.1006
0.2143,0.4000,123,38.9961
0.2143,0.4000,777,39.3132
0.2143,0.4000,999,38.9789
0.2143,0.4000,2024,37.8860
0.2143,0.4000,314,38.5168
0.2143,0.4000,1066,39.2293
0.2143,0.4000,53,39.1073
0.2143,0.4000,160,38.5074
0.2143,0.4000,1031,39.2818
0.2857,0.4000,42,27.5156
0.2857,0.4000,123,24.4511
0.2857,0.4000,777,27.1476
0.2857,0.4000,999,27.1735
0.2857,0.4000,2024,26.9315
0.2857,0.4000,314,24.5358
0.2857,0.4000,1066,25.9445
0.2857,0.4000,53,23.6843
0.2857,0.4000,160,26.9951
0.2857,0.4000,1031,26.0795
