tau_max,rho_max,seed,orig_regime,orig_lpay,orig_fpay,orig_rho,orig_d,orig_tau,probe_regime,probe_lpay,probe_fpay,probe_rho,probe_d,delta_L,delta_F,regime_flipped
0.3,0.1429,2024,Deterrence,44.561,23.563,0.0758,0.0951,0.2888,Deterrence,44.807,22.796,0.0757,0.091,0.246,-0.766,0
0.3,0.2143,42,Deterrence,29.667,24.786,0.1155,0.0913,0.2796,Deterrence,28.636,25.23,0.1184,0.0926,-1.031,0.443,0
0.3,0.2143,123,Deterrence,29.72,24.012,0.1169,0.0863,0.2844,Deterrence,30.453,23.345,0.1156,0.0828,0.733,-0.667,0
0.3,0.2143,777,Deterrence,30.665,24.185,0.1136,0.0882,0.2822,Deterrence,31.365,24.352,0.1116,0.0894,0.7,0.168,0
0.3,0.2143,999,Deterrence,31.54,23.773,0.112,0.0861,0.2858,Deterrence,31.595,24.755,0.112,0.0911,0.055,0.982,0
0.3,0.2143,2024,Deterrence,29.067,23.308,0.1151,0.0845,0.2734,Deterrence,28.859,23.72,0.1169,0.0857,-0.208,0.412,0
0.3,0.2857,42,Deterrence,18.806,26.577,0.1493,0.092,0.2786,Deterrence,19.888,26.018,0.1463,0.0896,1.081,-0.559,0
0.3,0.2857,123,Deterrence,19.619,25.206,0.1482,0.0845,0.2828,Deterrence,19.889,25.256,0.1479,0.0846,0.27,0.05,0
0.3,0.2857,777,Deterrence,19.197,26.045,0.1487,0.0896,0.2783,Deterrence,19.192,25.372,0.1486,0.0857,-0.005,-0.673,0
0.3,0.2857,999,Deterrence,19.664,25.518,0.1458,0.088,0.2755,Deterrence,16.812,25.515,0.1504,0.0886,-2.852,-0.003,0
0.3,0.2857,2024,Deterrence,16.724,25.466,0.1523,0.0871,0.2688,Deterrence,19.505,25.453,0.1459,0.0877,2.781,-0.013,0
0.3,0.3571,42,Transition,6.681,26.632,0.1873,0.0847,0.2719,Transition,7.776,27.466,0.1857,0.0884,1.095,0.833,0
0.3,0.3571,123,Transition,5.338,27.944,0.1938,0.089,0.2768,Transition,4.986,27.156,0.1947,0.0854,-0.352,-0.789,0
0.3,0.3571,777,Transition,6.641,28.061,0.1885,0.0919,0.2724,Transition,7.354,27.292,0.1846,0.0893,0.713,-0.769,0
0.3,0.3571,999,Transition,6.995,25.484,0.1857,0.0794,0.2704,Transition,7.348,26.27,0.1876,0.0816,0.352,0.786,0
