tau_max,rho_max,seed,orig_regime,orig_lpay,orig_fpay,orig_rho,orig_d,orig_tau,probe_regime,probe_lpay,probe_fpay,probe_rho,probe_d,delta_L,delta_F,regime_flipped
0.35,0.1429,2024,Deterrence,49.218,22.904,0.0763,0.0876,0.3345,Deterrence,49.265,22.45,0.0762,0.0851,0.046,-0.455,0
0.35,0.2143,42,Deterrence,35.908,25.01,0.1129,0.0869,0.3289,Deterrence,35.315,25.643,0.114,0.0898,-0.593,0.634,0
0.35,0.2143,123,Deterrence,33.453,25.848,0.1196,0.0895,0.3262,Deterrence,33.609,26.473,0.1194,0.0923,0.156,0.626,0
0.35,0.2143,777,Deterrence,35.199,24.916,0.1147,0.086,0.3278,Deterrence,35.993,25.113,0.1127,0.0874,0.793,0.197,0
0.35,0.2143,999,Deterrence,34.007,26.48,0.1206,0.0907,0.3385,Deterrence,35.144,26.136,0.1171,0.09,1.137,-0.344,0
0.35,0.2143,2024,Deterrence,35.223,25.722,0.1163,0.0886,0.3355,Deterrence,35.182,25.768,0.1159,0.0891,-0.041,0.046,0
0.35,0.2857,42,Deterrence,23.502,27.595,0.1502,0.0898,0.323,Deterrence,23.781,27.445,0.151,0.0879,0.279,-0.15,0
0.35,0.2857,123,Deterrence,23.872,27.003,0.1493,0.087,0.3242,Deterrence,22.397,27.431,0.1541,0.0874,-1.475,0.428,0
0.35,0.2857,777,Deterrence,20.905,28.41,0.1569,0.0935,0.3166,Deterrence,22.93,26.809,0.1512,0.0857,2.025,-1.601,0
0.35,0.2857,999,Deterrence,23.936,27.645,0.151,0.0887,0.3304,Deterrence,24.325,26.537,0.15,0.0831,0.388,-1.108,0
0.35,0.2857,2024,Deterrence,23.879,27.552,0.1505,0.0893,0.3257,Deterrence,23.976,26.063,0.1494,0.083,0.097,-1.489,0
0.35,0.3571,42,Transition,12.319,27.84,0.1869,0.0822,0.3179,Transition,12.272,28.708,0.1874,0.0857,-0.047,0.868,0
0.35,0.3571,123,Transition,12.059,30.147,0.1897,0.0913,0.3273,Transition,11.301,30.121,0.1919,0.0907,-0.758,-0.027,0
0.35,0.3571,777,Transition,10.246,28.644,0.1918,0.0863,0.3109,Transition,11.226,28.737,0.1917,0.0843,0.98,0.092,0
0.35,0.3571,999,Transition,11.077,28.969,0.1922,0.0865,0.32,Transition,10.246,28.769,0.1941,0.0847,-0.831,-0.2,0
0.35,0.3571,2024,Transition,12.157,28.653,0.19,0.0837,0.3272,Transition,11.513,29.125,0.1917,0.0851,-0.644,0.472,0
0.35,0.4286,42,Transition,1.149,30.983,0.2278,0.0884,0.3172,Transition,0.541,30.746,0.2292,0.0875,-0.607,-0.237,0
0.35,0.4286,123,Transition,-2.078,31.602,0.2399,0.0873,0.323,Transition,0.402,31.257,0.2336,0.0845,2.48,-0.345,0
0.35,0.4286,777,Transition,2.362,30.489,0.2254,0.0847,0.3249,Transition,1.442,31.071,0.2289,0.0861,-0.92,0.582,0
0.35,0.4286,999,Transition,2.688,30.481,0.2241,0.0862,0.319,Transition,1.989,31.115,0.229,0.0847,-0.699,0.633,0
0.35,0.4286,2024,Transition,-2.517,31.069,0.2371,0.0891,0.3066,Transition,-0.27,30.173,0.2295,0.0864,2.246,-0.896,0
0.35,0.5,42,Transition,-8.605,31.906,0.2652,0.0853,0.3139,Transition,-8.375,33.256,0.2647,0.0917,0.231,1.35,0
0.35,0.5,123,Transition,-10.336,33.461,0.2725,0.0899,0.3206,Transition,-10.216,33.648,0.2733,0.0892,0.12,0.187,0
0.35,0.5,777,Transition,-11.946,31.797,0.2731,0.0859,0.303,Transition,-9.894,31.809,0.2659,0.0867,2.052,0.012,0
0.35,0.5,999,Transition,-8.857,32.413,0.2665,0.0869,0.317,Transition,-9.264,32.157,0.2682,0.0846,-0.407,-0.255,0
0.35,0.5,2024,Transition,-11.546,33.146,0.2789,0.086,0.3238,Transition,-10.312,33.201,0.2758,0.0853,1.234,0.055,0
0.4,0.0,42,Deterrence,84.301,32.36,0.0,0.1661,0.3954,Deterrence,84.339,33.398,0.0,0.1715,0.038,1.038,0
