x_val,y_val,seed,mean_lpay
0.1429,0.2000,123,25.1845
0.1429,0.2000,777,21.3811
0.1429,0.2000,999,11.4738
0.1429,0.2000,2024,21.4664
0.1429,0.2000,314,17.8198
0.1429,0.2000,1066,25.8348
0.1429,0.2000,53,23.7926
0.1429,0.2000,160,21.0566
0.1429,0.2000,1031,25.1848
0.2143,0.2000,42,4.0487
0.2143,0.2000,123,10.7075
0.2143,0.2000,777,1.4412
0.2143,0.2000,999,3.0031
0.2143,0.2000,2024,0.7650
0.2143,0.2000,314,3.2795
0.2143,0.2000,1066,-1.2652
0.2143,0.2000,53,13.5066
0.2143,0.2000,160,11.6941
0.2143,0.2000,1031,3.8471
0.2857,0.2000,42,-10.2702
0.2857,0.2000,123,-14.2718
0.2857,0.2000,777,-23.9240
0.2857,0.2000,999,-37.0380
0.2857,0.2000,2024,-15.9511
0.2857,0.2000,314,6.6840
0.2857,0.2000,1066,-17.1403
0.2857,0.2000,53,-16.4185
0.2857,0.2000,160,0.0365
0.2857,0.2000,1031,-8.4860
0.3571,0.2000,42,-17.5764
0.3571,0.2000,123,-18.2518
0.3571,0.2000,777,-26.3560
0.3571,0.2000,999,-19.6268
0.3571,0.2000,2024,-24.9526
0.3571,0.2000,314,-23.5547
0.3571,0.2000,1066,-20.6459
0.3571,0.2000,53,-22.4086
0.3571,0.2000,160,-26.5200
0.3571,0.2000,1031,-25.5333
0.4286,0.2000,42,-30.4433
0.4286,0.2000,123,-37.9503
0.4286,0.2000,777,-20.7532
0.4286,0.2000,999,-36.0074
0.4286,0.2000,2024,-29.7087
0.4286,0.2000,314,-32.3948
0.4286,0.2000,1066,-28.4620
0.4286,0.2000,53,-41.4590
0.4286,0.2000,160,-31.0600
0.4286,0.2000,1031,-55.1993
0.5000,0.2000,42,-42.9241
0.5000,0.2000,123,-43.2276
0.5000,0.2000,777,-48.2895
0.5000,0.2000,999,-47.7983
0.5000,0.2000,2024,-51.3198
0.5000,0.2000,314,-55.1633
0.5000,0.2000,1066,-44.1258
0.5000,0.2000,53,-33.3984
0.5000,0.2000,160,-45.9441
0.5000,0.2000,1031,-52.3255
0.0000,0.2500,42,69.6872
0.0000,0.2500,123,69.6721
0.0000,0.2500,777,69.6790
0.0000,0.2500,999,69.6737
0.0000,0.2500,2024,69.6854
0.0000,0.2500,314,69.6974
0.0000,0.2500,1066,69.6865
0.0000,0.2500,53,69.6883
0.0000,0.2500,160,69.6806
0.0000,0.2500,1031,69.6933
0.0714,0.2500,42,47.9242
0.0714,0.2500,123,48.5576
0.0714,0.2500,777,54.0265
0.0714,0.2500,999,46.9664
0.0714,0.2500,2024,51.6737
0.0714,0.2500,314,46.8159
0.0714,0.2500,1066,64.7639
0.0714,0.2500,53,52.4847
0.0714,0.2500,160,58.5725
0.0714,0.2500,1031,47.9906
0.1429,0.2500,42,36.8313
0.1429,0.2500,123,29.0812
0.1429,0.2500,777,39.0832
0.1429,0.2500,999,33.6063
0.1429,0.2500,2024,24.7528
0.1429,0.2500,314,41.6503
0.1429,0.2500,1066,27.4295
0.1429,0.2500,53,33.5921
0.1429,0.2500,160,33.7988
0.1429,0.2500,1031,25.6654
0.2143,0.2500,42,21.1707
0.2143,0.2500,123,11.6196
0.2143,0.2500,777,19.3241
0.2143,0.2500,999,22.0572
0.2143,0.2500,2024,8.8345
0.2143,0.2500,314,18.3858
0.2143,0.2500,1066,10.2848
0.2143,0.2500,53,15.1764
0.2143,0.2500,160,15.6332
0.2143,0.2500,1031,0.7168
0.2857,0.2500,42,-16.6382
0.2857,0.2500,123,1.9040
0.2857,0.2500,777,-3.7313
0.2857,0.2500,999,1.4165
0.2857,0.2500,2024,0.0158
0.2857,0.2500,314,8.4606
0.2857,0.2500,1066,16.7280
0.2857,0.2500,53,-9.6127
0.2857,0.2500,160,0.7004
0.2857,0.2500,1031,-1.9123
0.3571,0.2500,42,-12.6454
0.3571,0.2500,123,-9.4135
0.3571,0.2500,777,-6.0959
0.3571,0.2500,999,-1.8435
0.3571,0.2500,2024,-13.8640
0.3571,0.2500,314,-28.6644
0.3571,0.2500,1066,-1.9179
0.3571,0.2500,53,-8.6788
0.3571,0.2500,160,-9.0551
0.3571,0.2500,1031,-49.8771
0.4286,0.2500,42,-23.0099
0.4286,0.2500,123,-22.3771
0.4286,0.2500,777,-28.1321
0.4286,0.2500,999,-40.5204
0.4286,0.2500,2024,-22.9693
0.4286,0.2500,314,-44.3826
0.4286,0.2500,1066,-23.5464
0.4286,0.2500,53,-25.4531
0.4286,0.2500,160,-37.8739
0.4286,0.2500,1031,-18.9243
0.0000,0.3000,42,76.2318
0.0000,0.3000,123,76.2327
0.0000,0.3000,777,76.2171
0.0000,0.3000,999,76.2083
0.0000,0.3000,2024,76.2432
0.0000,0.3000,314,76.2197
0.0000,0.3000,1066,76.1635
0.0000,0.3000,53,76.1860
0.0000,0.3000,160,76.1084
0.0000,0.3000,1031,76.2270
0.5000,0.2500,42,-34.8181
0.5000,0.2500,123,-34.7003
0.5000,0.2500,777,-49.3850
0.5000,0.2500,999,-45.3427
0.5000,0.2500,2024,-50.6618
0.5000,0.2500,314,-32.2154
0.5000,0.2500,1066,-26.0096
0.5000,0.2500,53,-50.2342
0.5000,0.2500,160,-51.2220
0.5000,0.2500,1031,-27.4815
0.0714,0.3000,42,59.3645
0.0714,0.3000,123,56.5657
0.0714,0.3000,777,64.9016
0.0714,0.3000,999,57.1705
0.0714,0.3000,2024,56.3635
0.0714,0.3000,314,59.1884
0.0714,0.3000,1066,62.2634
0.0714,0.3000,53,60.6704
0.0714,0.3000,160,58.2315
0.0714,0.3000,1031,56.0081
0.1429,0.3000,42,30.0738
0.1429,0.3000,123,20.9603
0.1429,0.3000,777,35.3056
0.1429,0.3000,999,36.0730
0.1429,0.3000,2024,34.0991
0.1429,0.3000,314,58.0971
0.1429,0.3000,1066,35.2511
0.1429,0.3000,53,39.4851
0.1429,0.3000,160,37.3000
0.1429,0.3000,1031,27.8207
0.2143,0.3000,42,26.0357
0.2143,0.3000,123,14.9959
0.2143,0.3000,777,34.7187
0.2143,0.3000,999,17.9417
0.2143,0.3000,2024,33.9869
0.2143,0.3000,314,30.0652
0.2143,0.3000,1066,21.7595
0.2143,0.3000,53,5.1516
0.2143,0.3000,160,19.7451
0.2143,0.3000,1031,19.1020
0.2857,0.3000,42,11.6825
0.2857,0.3000,123,4.9644
0.2857,0.3000,777,6.9204
0.2857,0.3000,999,3.5565
0.2857,0.3000,2024,6.2975
0.2857,0.3000,314,0.9894
0.2857,0.3000,1066,5.9861
0.2857,0.3000,53,8.4507
0.2857,0.3000,160,-5.9215
0.2857,0.3000,1031,-0.2517
